date,bist100_close,return_bist,return_bist_lag1,abs_return_bist,real_return_bist,goldstein_a1,event_count_a1,event_count_a1_c,tone_a1,source_count_a1,mentions_a1,articles_a1,goldstein_a2,event_count_a2,event_count_a2_c,tone_a2,source_count_a2,mentions_a2,articles_a2,vix_close,return_vix,usdtry_close,return_usdtry,cpi_daily_interp,daily_inflation_log
2020-01-06,1114.126953125,-0.020181357080050602,-0.019582074053366625,0.020181357080050602,-0.020294738952491467,1.333463082350079,3332,1497.3706377858002,-2.4399733423854784,3476,16442,16118,0.9353187919463086,2392,1076.384476534296,-2.68289688736917,2514,10728,10538,13.850000381469728,-0.012199654080916935,5.967959880828857,0.0020564096425269903,14.033021,0.00011338187244086626
2020-01-07,1125.9990234375,0.010599565907946897,-0.020181357080050602,0.010599565907946897,0.010486196889497326,1.252505832193709,2461,626.3706377858002,-2.0293192631397807,2632,12431,12213,1.3935199523525912,1833,517.384476534296,-2.075425262697863,1950,8395,8277,13.789999961853027,-0.004341571137355333,5.968999862670898,0.00017424568181835368,14.034612000000001,0.00011336901844957031
2020-01-08,1128.760986328125,0.0024498964502675134,0.010599565907946897,0.0024498964502675134,0.0023365402828956212,1.3747561109284223,3663,1828.3706377858002,-1.9226846069353505,3980,18246,17901,1.898271645198108,2626,1310.384476534296,-1.9117936137287412,2854,12266,12025,13.449999809265137,-0.024964597172115213,5.974370002746582,0.0008992672081817861,14.036203,0.00011335616737189223
2020-01-09,1179.905029296875,0.04431339270912075,0.0024498964502675134,0.04431339270912075,0.04420004938991314,0.903875566114782,2868,1033.3706377858002,-2.4660985644597373,3027,13469,13309,1.1679581977718625,2348,1032.384476534296,-2.4321284860767305,2434,10143,10018,12.539999961853027,-0.07005555970406599,5.908899784088135,-0.011019001044699,14.037794,0.00011334331920761008
2020-01-10,1186.636962890625,0.005689273018721777,0.04431339270912075,0.005689273018721777,0.005575942544766163,1.1612692307692305,2054,219.37063778580023,-2.3570205171399223,2200,10400,10201,1.6611370612571736,1563,247.38447653429603,-2.3063559723928675,1657,7493,7433,12.5600004196167,0.001593662286273741,5.877299785614014,-0.005362216039934782,14.039385000000001,0.0001133304739556139
2020-01-13,1202.489990234375,0.013271174223118956,0.005689273018721777,0.013271174223118956,0.013157882267456492,1.6541993655034228,6043,4208.3706377858,-2.1158548508751536,6512,29945,29196,1.9475302642042944,4722,3406.384476534296,-2.1517025813095243,5128,22634,22177,12.31999969482422,-0.01929326111441286,5.875329971313477,-0.00033521252004410927,14.044158,0.00011329195566246332
2020-01-14,1214.2330322265625,0.00971822944089192,0.013271174223118956,0.00971822944089192,0.009604950318842743,0.9906782991432836,2786,951.3706377858002,-2.104676754607785,2930,12723,12472,1.9040662827594304,1917,601.384476534296,-2.062029355532051,2009,8509,8325,12.390000343322754,0.005665790016104042,5.865499973297119,-0.001674498371857851,14.045749,0.00011327912204917721
2020-01-15,1209.387939453125,-0.003998231806429221,0.00971822944089192,0.003998231806429221,-0.004111498097772292,0.5319115059079863,2343,508.3706377858002,-2.236571503964577,2448,11933,11748,1.1832268570712765,1686,370.384476534296,-2.0473548582348307,1730,7983,7794,12.420000076293944,0.0024183592974461473,5.8871002197265625,0.003675828394745139,14.04734,0.00011326629134307116
2020-01-16,1210.009033203125,0.0005134285697332689,-0.003998231806429221,0.0005134285697332689,0.0004001751061900117,1.1484332575034857,2634,799.3706377858002,-2.261525493301578,2812,13627,13299,1.0799494949494952,2116,800.384476534296,-2.6740003074485665,2217,9900,9717,12.31999969482422,-0.008084149313550209,5.875349998474121,-0.00199792134173924,14.048931,0.00011325346354325724
2020-01-17,1214.748046875,0.00390886142355172,0.0005134285697332689,0.00390886142355172,0.0037956207849028727,1.3433982022864126,2353,518.3706377858002,-2.278138259199508,2489,11459,11075,1.19414466130884,1795,479.384476534296,-2.545836593489327,1935,8710,8461,12.100000381469728,-0.018018449205493302,5.855100154876709,-0.0034525296893918424,14.050522,0.00011324063864884746
