date,cpi_index,monthly_inflation,annual_inflation,monthly_log_inflation,base_year,release_vintage
2020-01-01,14.025066,1.3507370096969007,12.153638806687695,1.3416958809445934,2025,2026_01
2020-02-01,14.074387,0.35166322924968796,12.36738574014531,0.3510463399412078,2025,2026_01
2020-03-01,14.154809,0.5714067689058133,11.859194440139742,0.5697804328166356,2025,2026_01
2020-04-01,14.275755,0.8544516566772575,10.936699952651384,0.850821880309649,2025,2026_01
2020-05-01,14.470212,1.362148621911774,11.390020862806605,1.3529547727425761,2025,2026_01
2020-06-01,14.634196,1.133252228785575,12.622388821704234,1.126879030127359,2025,2026_01
2020-07-01,14.719644,0.5838926853241722,11.76414401097503,0.5821946386250332,2025,2026_01
2020-08-01,14.846873,0.8643483497291049,11.770404295838555,0.8606342458992611,2025,2026_01
2020-09-01,14.991381,0.9733228000266436,11.74831766814448,0.9686165271707736,2025,2026_01
2020-10-01,15.310868,2.1311378851621487,11.889626811882525,2.108746707673559,2025,2026_01
2020-11-01,15.662711,2.297995123463936,14.026293726902006,2.2719888766340457,2025,2026_01
2020-12-01,15.858425,1.2495537969129389,14.599322496093947,1.2418113044776913,2025,2026_01
2021-01-01,16.125135,1.6818189700427366,14.97368354630202,1.6678329895595478,2025,2026_01
2021-02-01,16.271527,0.9078497637384109,15.610910798459642,0.9037535805648034,2025,2026_01
2021-03-01,16.446507,1.075375408835333,16.190243188728303,1.0696343692967236,2025,2026_01
2021-04-01,16.722641,1.6789826557092047,17.140151256448434,1.6650435490075388,2025,2026_01
2021-05-01,16.871233,0.8885677806514058,16.59285295889237,0.8846432481017352,2025,2026_01
2021-06-01,17.198887,1.9420868646648382,17.52532903071682,1.9234690213822958,2025,2026_01
2021-07-01,17.509264,1.8046342184817155,18.95168116837609,1.788543986707003,2025,2026_01
2021-08-01,17.705291,1.1195616217791748,19.252660139276443,1.1133409173400555,2025,2026_01
2021-09-01,17.927079,1.2526650931633965,19.582572145955048,1.2448841559928425,2025,2026_01
2021-10-01,18.356203,2.3937195791907895,19.89002191123326,2.3655192501952804,2025,2026_01
2021-11-01,19.000831,3.5117720151602194,21.3125301232973,3.45151595264217,2025,2026_01
2021-12-01,21.580287,13.575490461443485,36.08089706260236,12.729754404068583,2025,2026_01
2022-01-01,23.976596,11.10415723386813,48.69082336364936,10.529792880412314,2025,2026_01
2022-02-01,25.129513,4.80850993193529,54.43856621446776,4.696478424277961,2025,2026_01
2022-03-01,26.502647,5.464228455203246,61.144533608261,5.32016426565689,2025,2026_01
2022-04-01,28.423653,7.248355230328518,69.97107693695035,6.997703585468695,2025,2026_01
2022-05-01,29.270905,2.9807991252918775,73.49594425019201,2.937236860457171,2025,2026_01
2022-06-01,30.720377,4.951920687112343,78.61840129538615,4.8332161084051695,2025,2026_01
2022-07-01,31.446998,2.3652737074157715,79.60205523201888,2.3377345150767503,2025,2026_01
2022-08-01,31.90628,1.4604955296527722,80.20760008971331,1.4499330128795673,2025,2026_01
2022-09-01,32.887673,3.0758615545278145,83.45249106114834,3.029505109070474,2025,2026_01
2022-10-01,34.05347,3.544784089771258,85.51478211479791,3.4834029650717913,2025,2026_01
2022-11-01,35.035492,2.883764855681381,84.38926171176406,2.842966846307915,2025,2026_01
2022-12-01,35.449851,1.1826835484428422,64.26959938021216,1.1757445042690495,2025,2026_01
2023-01-01,37.806892,6.648944730402384,57.6824833683647,6.437236418179104,2025,2026_01
2023-02-01,38.995936,3.145045617608555,55.179831777878064,3.096602152357697,2025,2026_01
2023-03-01,39.88874,2.2894796011563745,50.50851335717523,2.2636642982854394,2025,2026_01
2023-04-01,40.840289,2.3855077899176624,43.68416684512717,2.357499111255379,2025,2026_01
2023-05-01,40.857881,0.043075111442036906,39.58530151356783,0.043065836779199174,2025,2026_01
2023-06-01,42.459714,3.920499450277415,38.21351866873248,3.845599246621978,2025,2026_01
2023-07-01,46.488642,9.488825101365506,47.83173261880196,9.065230419180548,2025,2026_01
2023-08-01,50.712968,9.086791565131103,58.94353086602386,8.69736322910093,2025,2026_01
2023-09-01,53.123414,4.753115613347658,61.52986561256553,4.643611569734629,2025,2026_01
2023-10-01,54.947662,3.43398110671127,61.35701295638889,3.3763359492457123,2025,2026_01
2023-11-01,56.750548,3.2810968372048332,61.98016571310032,3.228418052880677,2025,2026_01
2023-12-01,58.411754,2.9272069760454045,64.77291822749834,2.885182400340458,2025,2026_01
2024-01-01,62.327275,6.703310090636894,64.85691286128468,6.488199424365071,2025,2026_01
2024-02-01,65.150195,4.529188866351053,67.06919151780329,4.429616570962747,2025,2026_01
2024-03-01,67.210681,3.162670503135101,68.49537237827015,3.113688169207496,2025,2026_01
2024-04-01,69.347819,3.1797594790030637,69.80246883169706,3.130251874412071,2025,2026_01
2024-05-01,71.683497,3.368062663946225,75.44594884888916,3.312585665355172,2025,2026_01
2024-06-01,72.859662,1.6407751424292183,71.59715677783416,1.6274598786909067,2025,2026_01
2024-07-01,75.209791,3.2255557265692403,61.78100233601145,3.1746269412770367,2025,2026_01
2024-08-01,77.070794,2.474415864285562,51.974528487466976,2.4442980110733536,2025,2026_01
2024-09-01,79.358408,2.9681983034974158,49.38499246302206,2.925000023213453,2025,2026_01
2024-10-01,81.643823,2.8798649791462516,48.58470775335262,2.839176208925931,2025,2026_01
2024-11-01,83.475925,2.2440178971041114,47.092720584830296,2.2192102549555948,2025,2026_01
2024-12-01,84.334173,1.028138352465091,44.378771779392224,1.0228889601236801,2025,2026_01
2025-01-01,88.578291,5.032500881937851,42.11802296827511,4.909964848315251,2025,2026_01
2025-02-01,90.59197,2.273332412791773,39.05095756044936,2.2478772759629173,2025,2026_01
2025-03-01,92.820524,2.4599906592162712,38.103829062526565,2.4302201357786046,2025,2026_01
2025-04-01,95.601977,2.9965926501341444,37.85866430781335,2.9525720627694874,2025,2026_01
2025-05-01,97.063071,1.5283093988736063,35.405044483251125,1.5167483939224624,2025,2026_01
2025-06-01,98.395995,1.3732555402043767,35.048656964672716,1.363911831130693,2025,2026_01
2025-07-01,100.421925,2.0589557532295855,33.5224093363057,2.0380457900598614,2025,2026_01
2025-08-01,102.465761,2.03524877659933,32.9501821403319,2.014814383963337,2025,2026_01
2025-09-01,105.780006,3.234490202049045,33.29401214802596,3.1832818608719116,2025,2026_01
2025-10-01,108.477581,2.5501747466340596,32.866856320532676,2.5182002542830872,2025,2026_01
2025-11-01,109.415936,0.8650220546492449,31.074841039497315,0.8613021753324013,2025,2026_01
2025-12-01,110.386963,0.8874639613739577,30.89232878349324,0.8835491446366639,2025,2026_01
2026-01-01,115.73,4.840279010121873,30.652780374821198,4.7267853758135026,2025,2026_01
2026-02-01,119.16,2.9637950401797175,31.53483691766499,2.920723598509589,2025,2026_01
2026-03-01,121.47,1.9385699899295172,30.86545385156412,1.9200190867097788,2025,2026_01
2026-04-01,126.55,4.182102576767921,32.37173955095092,4.097016827895317,2025,2026_01
2026-05-01,128.72,1.714737258000798,32.614802595726665,1.7002015692995087,2025,2026_01
2026-06-01,129.99,0.9866376631448182,32.10903553544024,0.9818021735799931,2025,2026_01
2026-07-01,132.31,1.7847526732825525,31.754096528223297,1.7690129634392093,2025,2026_01
