date,bist100_close
2020-01-02,1159.321044921875
2020-01-03,1136.8399658203125
2020-01-06,1114.126953125
2020-01-07,1125.9990234375
2020-01-08,1128.760986328125
2020-01-09,1179.905029296875
2020-01-10,1186.636962890625
2020-01-13,1202.489990234375
2020-01-14,1214.2330322265625
2020-01-15,1209.387939453125
2020-01-16,1210.009033203125
2020-01-17,1214.748046875
2020-01-20,1226.197998046875
2020-01-21,1235.56103515625
2020-01-22,1227.470947265625
2020-01-23,1225.4019775390625
2020-01-24,1221.41796875
2020-01-27,1201.4969482421875
2020-01-28,1198.0159912109375
2020-01-29,1196.89501953125
2020-01-30,1198.4969482421875
2020-01-31,1191.4010009765625
2020-02-03,1192.427978515625
2020-02-04,1221.362060546875
2020-02-05,1223.2080078125
2020-02-06,1222.8389892578125
2020-02-07,1210.1510009765625
2020-02-10,1183.4150390625
2020-02-11,1197.97802734375
2020-02-12,1200.487060546875
2020-02-13,1205.405029296875
2020-02-14,1201.5140380859375
2020-02-17,1207.9189453125
2020-02-18,1195.740966796875
2020-02-19,1191.9610595703125
2020-02-20,1156.4200439453125
2020-02-21,1168.2939453125
2020-02-24,1147.8919677734375
2020-02-25,1143.64501953125
2020-02-26,1151.7130126953125
2020-02-27,1104.1839599609375
2020-02-28,1059.93701171875
2020-03-02,1073.0989990234375
2020-03-03,1112.072998046875
2020-03-04,1107.85400390625
2020-03-05,1118.1510009765625
2020-03-06,1096.0050048828125
2020-03-09,1035.239990234375
2020-03-10,1010.625
2020-03-11,1009.6630249023438
2020-03-12,936.39501953125
2020-03-13,956.052001953125
2020-03-16,878.8829956054688
2020-03-17,867.7769775390625
2020-03-18,855.7659912109375
2020-03-19,851.9539794921875
2020-03-20,857.9580078125
2020-03-23,842.4619750976562
2020-03-24,892.8619995117188
2020-03-25,890.6300048828125
2020-03-26,915.2760009765625
2020-03-27,881.25
2020-03-30,880.594970703125
2020-03-31,896.43701171875
2020-04-01,890.8510131835938
2020-04-02,895.1090087890625
2020-04-03,895.5260009765625
2020-04-06,920.7109985351562
2020-04-07,923.8179931640625
2020-04-08,932.2520141601562
2020-04-09,958.343994140625
2020-04-10,964.7100219726562
2020-04-13,963.9860229492188
2020-04-14,985.4979858398438
2020-04-15,958.5490112304688
2020-04-16,962.4910278320312
2020-04-17,981.7979736328125
2020-04-20,989.458984375
2020-04-21,976.1900024414062
2020-04-22,981.7100219726562
2020-04-24,987.5900268554688
2020-04-27,1012.6740112304688
2020-04-28,1007.0750122070312
2020-04-29,1015.9530029296875
2020-04-30,1011.1010131835938
2020-05-04,988.4219970703125
2020-05-05,987.375
2020-05-06,985.7150268554688
2020-05-07,983.9879760742188
2020-05-08,978.4520263671875
2020-05-11,977.9219970703125
2020-05-12,996.1589965820312
2020-05-13,1001.5910034179688
2020-05-14,991.9299926757812
2020-05-15,997.6820068359375
2020-05-18,1019.8300170898438
2020-05-20,1021.5750122070312
2020-05-21,1026.489013671875
2020-05-22,1030.2430419921875
2020-05-27,1049.5350341796875
2020-05-28,1053.5980224609375
2020-05-29,1055.2049560546875
2020-06-01,1072.6619873046875
2020-06-02,1080.9730224609375
2020-06-03,1091.113037109375
2020-06-04,1095.3690185546875
2020-06-05,1100.218017578125
2020-06-08,1096.3709716796875
2020-06-09,1092.364990234375
2020-06-10,1097.7889404296875
2020-06-11,1091.553955078125
2020-06-12,1098.35498046875
2020-06-15,1095.56005859375
2020-06-16,1109.39697265625
2020-06-17,1109.4000244140625
2020-06-18,1124.946044921875
2020-06-19,1136.1190185546875
2020-06-22,1151.9010009765625
2020-06-23,1153.3890380859375
2020-06-24,1144.489013671875
2020-06-25,1141.3900146484375
2020-06-26,1146.6839599609375
2020-06-29,1158.4300537109375
2020-06-30,1165.248046875
2020-07-01,1153.1500244140625
2020-07-02,1169.0780029296875
2020-07-03,1157.4849853515625
2020-07-06,1184.85205078125
2020-07-07,1193.3890380859375
2020-07-08,1187.125
2020-07-09,1157.93603515625
2020-07-10,1148.0860595703125
2020-07-13,1183.987060546875
2020-07-14,1177.4110107421875
2020-07-16,1188.074951171875
2020-07-17,1187.8609619140625
2020-07-20,1192.8089599609375
2020-07-21,1180.4200439453125
2020-07-22,1180.7989501953125
2020-07-23,1190.31201171875
2020-07-24,1192.0159912109375
2020-07-27,1195.699951171875
2020-07-28,1152.699951171875
2020-07-29,1135.5999755859375
2020-07-30,1126.9000244140625
2020-08-04,1087.199951171875
2020-08-05,1091.800048828125
2020-08-06,1034.4000244140625
2020-08-07,1060.5999755859375
2020-08-10,1075.5
2020-08-11,1110.0999755859375
2020-08-12,1114.199951171875
2020-08-13,1100.300048828125
2020-08-14,1083.800048828125
2020-08-17,1086.199951171875
2020-08-18,1092.5
2020-08-19,1124.699951171875
2020-08-20,1126.800048828125
2020-08-21,1109.9000244140625
2020-08-24,1108.4000244140625
2020-08-25,1092.199951171875
2020-08-26,1099.0
2020-08-27,1108.9000244140625
2020-08-28,1100.5999755859375
2020-08-31,1078.5999755859375
2020-09-01,1085.199951171875
2020-09-02,1083.9000244140625
2020-09-03,1076.300048828125
2020-09-04,1086.300048828125
2020-09-07,1096.800048828125
2020-09-08,1089.5999755859375
2020-09-09,1099.699951171875
2020-09-10,1099.0999755859375
2020-09-11,1102.699951171875
2020-09-14,1107.300048828125
2020-09-15,1111.199951171875
2020-09-16,1107.0999755859375
2020-09-17,1110.699951171875
2020-09-18,1112.0
2020-09-21,1087.0
2020-09-22,1096.199951171875
2020-09-23,1102.699951171875
2020-09-24,1119.5999755859375
2020-09-25,1124.199951171875
2020-09-28,1121.199951171875
2020-09-29,1123.300048828125
2020-09-30,1145.199951171875
2020-10-01,1143.5
2020-10-02,1145.0
2020-10-05,1160.699951171875
2020-10-06,1153.699951171875
2020-10-07,1152.4000244140625
2020-10-08,1150.5
2020-10-09,1165.699951171875
2020-10-12,1178.4000244140625
2020-10-13,1174.699951171875
2020-10-14,1189.300048828125
2020-10-15,1180.4000244140625
2020-10-16,1192.699951171875
2020-10-19,1205.4000244140625
2020-10-20,1210.4000244140625
2020-10-21,1211.5
2020-10-22,1198.300048828125
2020-10-23,1190.5999755859375
2020-10-26,1144.5
2020-10-27,1152.5999755859375
2020-10-28,1127.0
2020-10-30,1112.4000244140625
2020-11-02,1133.5999755859375
2020-11-03,1150.699951171875
2020-11-04,1167.699951171875
2020-11-05,1180.0
2020-11-06,1192.0
2020-11-09,1231.5
2020-11-10,1243.0
2020-11-11,1279.199951171875
2020-11-12,1271.800048828125
2020-11-13,1291.300048828125
2020-11-16,1293.0
2020-11-17,1259.699951171875
2020-11-18,1294.699951171875
2020-11-19,1313.0
2020-11-20,1324.0
2020-11-23,1314.300048828125
2020-11-24,1321.0
2020-11-25,1325.5
2020-11-26,1342.5
2020-11-27,1328.699951171875
2020-11-30,1283.5999755859375
2020-12-01,1325.300048828125
2020-12-02,1325.5
2020-12-03,1330.9000244140625
2020-12-04,1330.9000244140625
2020-12-07,1329.9000244140625
2020-12-08,1339.9000244140625
2020-12-09,1350.300048828125
2020-12-10,1353.4000244140625
2020-12-11,1370.699951171875
2020-12-14,1388.5999755859375
2020-12-15,1395.4000244140625
2020-12-16,1392.5
2020-12-17,1399.4000244140625
2020-12-18,1408.300048828125
2020-12-21,1384.4000244140625
2020-12-22,1405.0
2020-12-23,1417.699951171875
2020-12-24,1426.0
2020-12-28,1439.300048828125
2020-12-29,1459.699951171875
2020-12-30,1479.9000244140625
2020-12-31,1476.699951171875
2021-01-04,1495.4000244140625
2021-01-05,1489.5999755859375
2021-01-06,1505.4000244140625
2021-01-07,1522.199951171875
2021-01-08,1540.5999755859375
2021-01-11,1536.199951171875
2021-01-12,1549.5
2021-01-13,1559.300048828125
2021-01-14,1546.5999755859375
2021-01-15,1524.5
2021-01-18,1556.800048828125
2021-01-19,1565.0
2021-01-20,1569.4000244140625
2021-01-21,1551.5999755859375
2021-01-22,1542.5
2021-01-25,1540.199951171875
2021-01-26,1536.0999755859375
2021-01-27,1467.0
2021-01-28,1498.300048828125
2021-01-29,1473.5
2021-02-01,1492.5
2021-02-02,1511.4000244140625
2021-02-03,1533.5999755859375
2021-02-04,1534.9000244140625
2021-02-05,1527.199951171875
2021-02-08,1534.9000244140625
2021-02-09,1544.0999755859375
2021-02-10,1547.0999755859375
2021-02-11,1545.5999755859375
2021-02-12,1538.4000244140625
2021-02-15,1562.5
2021-02-16,1542.800048828125
2021-02-17,1540.5999755859375
2021-02-18,1546.4000244140625
2021-02-19,1560.300048828125
2021-02-22,1550.5999755859375
2021-02-23,1517.9000244140625
2021-02-24,1483.0
2021-02-25,1488.199951171875
2021-02-26,1471.4000244140625
2021-03-01,1527.5
2021-03-02,1528.800048828125
2021-03-03,1531.0999755859375
2021-03-04,1538.0
2021-03-05,1542.0
2021-03-08,1530.300048828125
2021-03-09,1549.199951171875
2021-03-10,1564.9000244140625
2021-03-11,1556.5
2021-03-12,1557.4000244140625
2021-03-15,1555.5
2021-03-16,1570.4000244140625
2021-03-17,1562.0999755859375
2021-03-18,1550.9000244140625
2021-03-19,1529.0
2021-03-22,1379.300048828125
2021-03-23,1377.4000244140625
2021-03-24,1413.9000244140625
2021-03-25,1394.4000244140625
2021-03-26,1382.199951171875
2021-03-29,1392.5999755859375
2021-03-30,1395.800048828125
2021-03-31,1391.699951171875
2021-04-01,1426.5999755859375
2021-04-05,1442.0999755859375
2021-04-06,1420.5999755859375
2021-04-07,1417.9000244140625
2021-04-08,1416.5999755859375
2021-04-09,1393.199951171875
2021-04-12,1375.9000244140625
2021-04-13,1378.4000244140625
2021-04-14,1409.199951171875
2021-04-15,1407.800048828125
2021-04-16,1408.0999755859375
2021-04-19,1377.199951171875
2021-04-20,1365.300048828125
2021-04-21,1330.5
2021-04-22,1345.199951171875
2021-04-26,1374.0
2021-04-27,1392.0
2021-04-28,1385.9000244140625
2021-04-29,1401.5
2021-04-30,1397.800048828125
2021-05-03,1421.199951171875
2021-05-04,1416.300048828125
2021-05-05,1420.0
2021-05-06,1427.699951171875
2021-05-07,1441.300048828125
2021-05-10,1460.9000244140625
2021-05-11,1444.9000244140625
2021-05-12,1441.300048828125
2021-05-17,1454.300048828125
2021-05-18,1459.5999755859375
2021-05-20,1449.800048828125
2021-05-21,1451.800048828125
2021-05-24,1452.199951171875
2021-05-25,1400.199951171875
2021-05-26,1427.0999755859375
2021-05-27,1415.0
2021-05-28,1422.0999755859375
2021-05-31,1420.5
2021-06-01,1432.0
2021-06-02,1430.699951171875
2021-06-03,1428.0999755859375
2021-06-04,1432.9000244140625
2021-06-07,1447.0999755859375
2021-06-08,1447.5999755859375
2021-06-09,1449.199951171875
2021-06-10,1456.699951171875
2021-06-11,1460.9000244140625
2021-06-14,1454.300048828125
2021-06-15,1442.5999755859375
2021-06-16,1431.300048828125
2021-06-17,1414.199951171875
2021-06-18,1391.0999755859375
2021-06-21,1398.5
2021-06-22,1409.9000244140625
2021-06-23,1402.4000244140625
2021-06-24,1410.800048828125
2021-06-25,1391.9000244140625
2021-06-28,1373.300048828125
2021-06-29,1371.699951171875
2021-06-30,1356.300048828125
2021-07-01,1372.800048828125
2021-07-02,1376.699951171875
2021-07-05,1392.5999755859375
2021-07-06,1382.5999755859375
2021-07-07,1390.5999755859375
2021-07-08,1373.0
2021-07-09,1378.300048828125
2021-07-12,1357.0
2021-07-13,1346.800048828125
2021-07-14,1367.300048828125
2021-07-16,1363.300048828125
2021-07-19,1351.5999755859375
2021-07-26,1349.0999755859375
2021-07-27,1359.5999755859375
2021-07-28,1360.800048828125
2021-07-29,1391.5999755859375
2021-07-30,1392.9000244140625
2021-08-02,1399.699951171875
2021-08-03,1408.800048828125
2021-08-04,1413.800048828125
2021-08-05,1431.800048828125
2021-08-06,1434.800048828125
2021-08-09,1432.5999755859375
2021-08-10,1437.5
2021-08-11,1410.9000244140625
2021-08-12,1444.5
2021-08-13,1447.5999755859375
2021-08-16,1455.300048828125
2021-08-17,1461.699951171875
2021-08-18,1449.5999755859375
2021-08-19,1439.9000244140625
2021-08-20,1444.5999755859375
2021-08-23,1459.300048828125
2021-08-24,1465.9000244140625
2021-08-25,1453.300048828125
2021-08-26,1448.5
2021-08-27,1458.199951171875
2021-08-31,1472.0999755859375
2021-09-01,1474.0999755859375
2021-09-02,1479.0999755859375
2021-09-03,1468.699951171875
2021-09-06,1474.699951171875
2021-09-07,1454.699951171875
2021-09-08,1433.9000244140625
2021-09-09,1452.699951171875
2021-09-10,1438.699951171875
2021-09-13,1438.300048828125
2021-09-14,1434.4000244140625
2021-09-15,1424.0
2021-09-16,1418.0
2021-09-17,1419.4000244140625
2021-09-20,1391.9000244140625
2021-09-21,1385.5999755859375
2021-09-22,1407.5
2021-09-23,1401.5
2021-09-24,1384.699951171875
2021-09-27,1391.699951171875
2021-09-28,1383.800048828125
2021-09-29,1391.9000244140625
2021-09-30,1406.4000244140625
2021-10-01,1401.5
2021-10-04,1394.4000244140625
2021-10-05,1391.699951171875
2021-10-06,1371.699951171875
2021-10-07,1396.9000244140625
2021-10-08,1398.0
2021-10-11,1416.300048828125
2021-10-12,1416.800048828125
2021-10-13,1413.5
2021-10-14,1411.800048828125
2021-10-15,1409.5999755859375
2021-10-18,1417.699951171875
2021-10-19,1429.9000244140625
2021-10-20,1432.800048828125
2021-10-21,1455.4000244140625
2021-10-22,1479.9000244140625
2021-10-25,1492.9000244140625
2021-10-26,1509.199951171875
2021-10-27,1519.300048828125
2021-10-28,1522.0
2021-11-01,1536.300048828125
2021-11-02,1533.0999755859375
2021-11-03,1547.0
2021-11-04,1575.699951171875
2021-11-05,1583.5999755859375
2021-11-08,1608.5
2021-11-09,1615.5999755859375
2021-11-10,1624.0999755859375
2021-11-11,1625.0999755859375
2021-11-12,1638.5
2021-11-15,1702.5
2021-11-16,1685.5999755859375
2021-11-17,1707.0
2021-11-18,1736.9000244140625
2021-11-19,1737.300048828125
2021-11-22,1755.5
2021-11-23,1784.5999755859375
2021-11-24,1812.300048828125
2021-11-25,1819.199951171875
2021-11-26,1776.4000244140625
2021-11-29,1808.800048828125
2021-11-30,1809.699951171875
2021-12-01,1857.4000244140625
2021-12-02,1880.0999755859375
2021-12-03,1910.4000244140625
2021-12-06,1927.4000244140625
2021-12-07,1981.0
2021-12-08,2004.5999755859375
2021-12-09,2031.4000244140625
2021-12-10,2035.5
2021-12-13,2101.5
2021-12-14,2157.699951171875
2021-12-15,2162.300048828125
2021-12-16,2278.60009765625
2021-12-17,2084.5
2021-12-20,2056.39990234375
2021-12-21,1892.0
2021-12-22,1804.199951171875
2021-12-23,1805.300048828125
2021-12-24,1891.300048828125
2021-12-27,1897.0999755859375
2021-12-28,1850.5
2021-12-29,1895.5
2021-12-30,1863.699951171875
2021-12-31,1857.699951171875
