role,timing,tau,term,estimate_raw,std_error_raw,statistic,p_value,conf_low_raw,conf_high_raw,estimate,std_error,conf_low,conf_high,return_unit,inference
Actor1,reaction,0.05,(Intercept),-0.02670607226838107,0.0020315203628682643,-13.145855073131182,0,-0.03068785217960287,-0.022724292357159274,-2.6706072268381074,0.20315203628682643,-3.068785217960287,-2.2724292357159275,percent,bootstrap_xy_R500
Actor1,reaction,0.05,goldstein_a1,0.0030161639853083563,0.002225672394888445,1.3551697869980242,0.1755572955950997,-0.0013461539086729955,0.007378481879289708,0.3016163985308356,0.2225672394888445,-0.13461539086729954,0.7378481879289708,percent,bootstrap_xy_R500
Actor1,reaction,0.05,event_count_c,-2.115292907641715e-6,1.381584310794818e-6,-1.5310632084586995,0.12595408079366788,-4.823198156799558e-6,5.926123415161283e-7,-2.115292907641715e-4,1.3815843107948178e-4,-4.823198156799558e-4,5.9261234151612834e-5,percent,bootstrap_xy_R500
Actor1,reaction,0.05,return_vix,-0.0449834922233959,0.013709687798581869,-3.2811463604626354,0.0010564111555537714,-0.07185448030861635,-0.018112504138175438,-4.49834922233959,1.3709687798581869,-7.185448030861635,-1.8112504138175438,percent,bootstrap_xy_R500
Actor1,reaction,0.05,return_usdtry,0.14173527298851873,0.31084376353614585,0.45596949212087806,0.648474618283184,-0.46751850354232716,0.7509890495193646,14.173527298851873,31.084376353614584,-46.751850354232715,75.09890495193646,percent,bootstrap_xy_R500
Actor1,reaction,0.05,return_bist_lag1,0.1892752557930731,0.09183156389141033,2.061113279273875,0.03945565225463454,0.00928539056590888,0.36926512102023734,18.92752557930731,9.183156389141033,0.928539056590888,36.926512102023736,percent,bootstrap_xy_R500
Actor1,reaction,0.05,goldstein_a1:event_count_c,-6.396464491848949e-7,1.3996100995968165e-6,-0.4570176003796749,0.6477212605769926,-3.3828822443946553e-6,2.1035893460248652e-06,-6.396464491848949e-5,1.3996100995968165e-4,-3.3828822443946556e-4,2.1035893460248653e-4,percent,bootstrap_xy_R500
Actor1,reaction,0.1,(Intercept),-0.018560606098647202,0.00171010187535217,-10.853509002102534,0,-0.021912405774337455,-0.015208806422956949,-1.85606060986472,0.171010187535217,-2.1912405774337453,-1.5208806422956949,percent,bootstrap_xy_R500
Actor1,reaction,0.1,goldstein_a1,0.0019040544657555909,0.0015706775412839835,1.2122503924001367,0.2255979001974333,-0.0011744735151610168,0.0049825824466721985,0.19040544657555908,0.15706775412839835,-0.11744735151610168,0.49825824466721985,percent,bootstrap_xy_R500
Actor1,reaction,0.1,event_count_c,-2.0194110639687678e-6,1.2045786266309987e-6,-1.6764460362514622,0.09384881128411493,-4.380385172165525e-6,3.4156304422798953e-7,-2.0194110639687677e-4,1.2045786266309988e-4,-4.380385172165525e-4,3.415630442279896e-5,percent,bootstrap_xy_R500
