role,timing,tau,event_count_percentile,event_count_raw,event_count_centered,marginal_effect_raw,std_error_raw,conf_low_raw,conf_high_raw,N,event_count_sample_mean,centered_mean_check,marginal_effect,std_error,conf_low,conf_high,return_unit,inference
Actor1,reaction,0.05,0.1,937.5,-876.1065573770493,0.003576562433842188,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.3576562433842188,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.05,0.25,1107.25,-706.3565573770493,0.0034679824490930523,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.3467982449093052,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.05,0.5,1412.5,-401.1065573770493,0.003272730370479363,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.3272730370479363,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.05,0.75,2139,325.3934426229507,0.002808027225146537,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.2808027225146537,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.05,0.9,3174,1360.3934426229507,0.0021459931502401707,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.21459931502401708,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.1,0.1,937.5,-876.1065573770493,0.001451608970101606,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.1451608970101606,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.1,0.25,1107.25,-706.3565573770493,0.0015392725336722305,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.15392725336722304,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.1,0.5,1412.5,-401.1065573770493,0.0016969120198574036,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.16969120198574036,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.1,0.75,2139,325.3934426229507,0.002072096579115481,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.2072096579115481,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.1,0.9,3174,1360.3934426229507,0.0026065990138465344,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.26065990138465345,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.15000000000000002,0.1,937.5,-876.1065573770493,9.2141759420617e-4,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.09214175942061699,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.15000000000000002,0.25,1107.25,-706.3565573770493,0.0010677113842276391,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.10677113842276391,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.15000000000000002,0.5,1412.5,-401.1065573770493,0.0013307816605401777,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.1330781660540178,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.15000000000000002,0.75,2139,325.3934426229507,0.0019568932272594547,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.19568932272594547,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.15000000000000002,0.9,3174,1360.3934426229507,0.0028488759823240817,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.28488759823240817,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.2,0.1,937.5,-876.1065573770493,9.640754921520634e-4,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.09640754921520633,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.2,0.25,1107.25,-706.3565573770493,0.0010446277344198932,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.10446277344198932,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.2,0.5,1412.5,-401.1065573770493,0.0011894794101327362,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.11894794101327362,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.2,0.75,2139,325.3934426229507,0.001534228771002123,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.1534228771002123,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.2,0.9,3174,1360.3934426229507,0.0020253720449179046,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.20253720449179047,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,reaction,0.25,0.1,937.5,-876.1065573770493,0.0010911387892858127,NA,NA,NA,1586,1813.6065573770493,-1.0515541079058255e-13,0.10911387892858126,NA,NA,NA,percent,bootstrap_xy_R500
