term,estimate,std_error,statistic,p_value,hac_lag,role,outcome,include_vix,include_fx,include_lag,model_formula,N,return_unit,estimate_reported,std_error_reported
return_bist_lag1,0.01126485303033295,0.02699082605936756,0.41735858715681357,0.6764728083442385,7,Actor2,nominal,FALSE,TRUE,TRUE,return_bist ~ goldstein_a2 + event_count_a2_c + return_usdtry +     return_bist_lag1,1586,percent,1.126485303033295,2.6990826059367556
(Intercept),-0.001116490234844923,8.178077224999279e-4,-1.365223394359695,0.1723770723432437,7,Actor1,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_usdtry +     return_bist_lag1,1586,percent,-0.1116490234844923,0.08178077224999279
goldstein_a1,0.002004476809115258,8.872986853965261e-4,2.2590778529323243,0.024014251594750142,7,Actor1,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_usdtry +     return_bist_lag1,1586,percent,0.20044768091152582,0.08872986853965262
event_count_a1_c,3.788868880161904e-7,6.297279759627688e-7,0.601667549288919,0.5474817185825485,7,Actor1,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_usdtry +     return_bist_lag1,1586,percent,3.788868880161904e-5,6.297279759627689e-5
return_usdtry,0.05490654637005172,0.10815733129031874,0.5076544115411846,0.6117665345524426,7,Actor1,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_usdtry +     return_bist_lag1,1586,percent,5.490654637005172,10.815733129031873
return_bist_lag1,0.009028834949598882,0.026996098034467113,0.33444962816742513,0.7380846563253775,7,Actor1,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_usdtry +     return_bist_lag1,1586,percent,0.9028834949598882,2.699609803446711
(Intercept),-0.0017503491032985644,0.0010264792894058427,-1.7051967062206579,0.0883541871038187,7,Actor2,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_usdtry +     return_bist_lag1,1586,percent,-0.17503491032985644,0.10264792894058426
goldstein_a2,0.001573382405622356,6.857449280244852e-4,2.294413478427035,0.021897301647441393,7,Actor2,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_usdtry +     return_bist_lag1,1586,percent,0.15733824056223558,0.06857449280244853
event_count_a2_c,7.470536755428433e-7,8.042489575872348e-7,0.9288836105974216,0.3530912010457905,7,Actor2,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_usdtry +     return_bist_lag1,1586,percent,7.470536755428433e-5,8.042489575872348e-5
return_usdtry,0.05324915704082492,0.10842833668778036,0.49110000824005984,0.623423877173974,7,Actor2,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_usdtry +     return_bist_lag1,1586,percent,5.324915704082492,10.842833668778036
return_bist_lag1,0.008417409943644656,0.027143817190939522,0.31010413474396475,0.7565226388379926,7,Actor2,real,FALSE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_usdtry +     return_bist_lag1,1586,percent,0.8417409943644656,2.7143817190939523
(Intercept),-1.1870402073332426e-4,7.760861704249258e-4,-0.1529521144131855,0.8784555682021682,7,Actor1,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,-0.011870402073332426,0.07760861704249258
goldstein_a1,0.001903123360586833,8.561920059450936e-4,2.222776371856102,0.026371943809693998,7,Actor1,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,0.1903123360586833,0.08561920059450935
event_count_a1_c,5.09236556383765e-7,6.053944263227243e-7,0.8411649236299719,0.40038283225253246,7,Actor1,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,5.0923655638376496e-5,6.0539442632272426e-5
return_vix,-0.03861503622204641,0.007567782914885243,-5.102556013610488,3.756152063610827e-7,7,Actor1,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,-3.8615036222046406,0.7567782914885244
return_usdtry,0.0696799600036502,0.10964048050369342,0.6355313264182832,0.5251739749178592,7,Actor1,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,6.96799600036502,10.964048050369342
return_bist_lag1,0.02800988338080505,0.027135655431760143,1.032216946122543,0.30212846971475726,7,Actor1,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,2.800988338080505,2.7135655431760144
(Intercept),-7.435042341792865e-4,9.685129717031073e-4,-0.7676760723935909,0.4427943614113967,7,Actor2,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,-0.07435042341792865,0.09685129717031074
goldstein_a2,0.001511139322246959,6.594243024946588e-4,2.291603928654417,0.022059545453220333,7,Actor2,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,0.1511139322246959,0.06594243024946587
event_count_a2_c,8.818071824936228e-7,7.785831014943129e-7,1.132579400710335,0.2575627660619664,7,Actor2,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,8.818071824936229e-5,7.78583101494313e-5
return_vix,-0.038677071369315474,0.007600703346101928,-5.0886174092232235,4.0381422271271695e-7,7,Actor2,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,-3.867707136931547,0.7600703346101928
return_usdtry,0.06809835473824344,0.10994044427877366,0.6194113111419478,0.535734736135565,7,Actor2,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,6.809835473824344,10.994044427877366
return_bist_lag1,0.027325460669297478,0.027184025400244387,1.005202881728172,0.3149530841505428,7,Actor2,nominal,TRUE,TRUE,TRUE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,2.7325460669297477,2.7184025400244387
(Intercept),-9.439149419991756e-4,7.814278830619677e-4,-1.207936090404804,0.22725261727274357,7,Actor1,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,-0.09439149419991756,0.07814278830619678
goldstein_a1,0.0017693972629143698,8.564385189601008e-4,2.065994492007197,0.038991683800963226,7,Actor1,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,0.17693972629143698,0.08564385189601008
event_count_a1_c,5.405191769592541e-7,6.006629925071764e-7,0.8998709487713217,0.3683260591475057,7,Actor1,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,5.405191769592541e-5,6.0066299250717634e-5
return_vix,-0.03866779168083063,0.0075553054419572625,-5.117965379148646,3.4665471725589443e-7,7,Actor1,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,-3.8667791680830628,0.7555305441957263
return_usdtry,0.05788193969932851,0.11400476379620365,0.5077150969129588,0.6117240238202066,7,Actor1,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,5.788193969932851,11.400476379620365
return_bist_lag1,0.025031031848358466,0.027240340584718508,0.9188957006800628,0.3582903844503825,7,Actor1,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,2.5031031848358465,2.724034058471851
(Intercept),-0.0014650788549426567,9.756337977061877e-4,-1.501668821218784,0.1333824738959655,7,Actor2,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,-0.14650788549426566,0.09756337977061877
goldstein_a2,0.001359364043354215,6.623332430301899e-4,2.052386857611273,0.040296514092910886,7,Actor2,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,0.1359364043354215,0.066233324303019
event_count_a2_c,9.1940593702516215e-07,7.728370078296127e-7,1.189650505489074,0.2343625223517956,7,Actor2,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,9.194059370251622e-5,7.728370078296127e-5
return_vix,-0.03874186560635857,0.007585990062236139,-5.107028257157846,3.6697763844176673e-7,7,Actor2,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,-3.8741865606358568,0.7585990062236139
return_usdtry,0.056416933110191116,0.11427124470292618,0.49371067285439685,0.6215791475525062,7,Actor2,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,5.641693311019112,11.427124470292618
return_bist_lag1,0.024504923312065132,0.02729390445202556,0.8978167031813783,0.36942006558164764,7,Actor2,real,TRUE,TRUE,TRUE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_vix +     return_usdtry + return_bist_lag1,1586,percent,2.450492331206513,2.729390445202556
